"","allCols","predCols","withY","noBMI","mean","completeCases","fullJoint","RF","SVM","allNeg","allPos","c1","c3","c4","c5","c6","doctor","SAEM","pos.w"
"218",1.80151024811219,1.80151024811219,1.81229773462783,1.77993527508091,1.80151024811219,1.79072276159655,1.81229773462783,1.76914778856526,1.7259978425027,1.81229773462783,1.81229773462783,1.81229773462783,0,1.81229773462783,1.81229773462783,1.77993527508091,1.81229773462783,1.79072276159655,0.2
"219",2.42469504605427,2.45456808563605,2.45456808563605,2.46452576549664,2.47946228528753,2.47448344535723,2.45954692556634,2.41971620612397,2.36494896689071,2.50933532486931,2.50933532486931,2.30520288772716,0,2.50933532486931,2.50933532486931,2.46452576549664,2.50933532486931,2.47946228528753,0.3
"220",2.89412852519649,2.93111419325012,2.93111419325012,2.94960702727693,2.96809986130375,2.94036061026352,2.96809986130375,2.93111419325012,2.9126213592233,3.10679611650485,3.10679611650485,2.51502542764679,0,3.10679611650485,3.10679611650485,3.05131761442441,3.10679611650485,3.042071197411,0.4
"221",3.30097087378641,3.34412081984898,3.34412081984898,3.32254584681769,3.34412081984898,3.34412081984898,3.36569579288026,3.36569579288026,3.38727076591154,3.62459546925566,3.62459546925566,2.69687162891046,0,3.62459546925566,3.62459546925566,3.53829557713053,3.62459546925566,3.43042071197411,0.5
"222",3.65695792880259,3.70550161812298,3.69741100323625,3.63268608414239,3.66504854368932,3.61650485436893,3.65695792880259,3.74595469255663,3.80258899676375,4.07766990291262,4.07766990291262,2.85598705501618,0,4.07766990291262,4.07766990291262,3.94822006472492,4.07766990291262,3.75404530744337,0.6
"223",3.97106415381687,3.97487150199886,3.97106415381687,3.90253188654102,3.94822006472492,3.83780696744717,3.913953931087,4.03198172472873,4.16523891109842,4.4774414620217,4.4774414620217,2.99638301922711,0,3.92156862745098,4.4774414620217,4.30991814201409,4.38225775747192,4.03959642109271,0.7
"224",4.19273642574613,4.15677813736066,4.15677813736066,4.13520316432938,4.19992808342323,4.03451995685005,4.07047824523553,4.26465300251708,4.40848615605897,4.83279395900755,4.83279395900755,3.12117943185904,0,3.7037037037037,4.76087738223661,4.6314275440489,4.47321107515282,4.29341963322546,0.8
"225",4.35360245273378,4.31953670584228,4.31953670584228,4.34338272866633,4.41492079713848,4.21052631578947,4.21052631578947,4.47283256685403,4.61590870379833,5.15074092999489,5.15074092999489,3.23283938000341,0,3.50877192982456,4.92931357520014,4.91909385113269,4.55459035939363,4.40129449838188,0.9
"226",4.49838187702265,4.46601941747573,4.46601941747573,4.49838187702265,4.5631067961165,4.36893203883495,4.33656957928803,4.66019417475728,4.78964401294498,5.4368932038835,5.4368932038835,3.33333333333333,0,3.33333333333333,5.08090614886731,5.17799352750809,4.62783171521036,4.46601941747573,1
"227",4.957928802589,4.93203883495146,4.89320388349515,4.86731391585761,4.89320388349515,4.8673139158576,4.72491909385113,5.37216828478964,5.44983818770227,6.52427184466019,6.52427184466019,3.71521035598706,0,2.66666666666667,5.65695792880259,5.8252427184466,4.90614886731392,4.6084142394822,1.5
"228",5.07011866235167,5.11326860841424,5.09169363538296,5.00539374325782,4.98381877022654,5.15641855447681,4.8975188781014,5.45846817691478,5.58791801510248,7.24919093851133,7.24919093851133,3.9697950377562,0,2.22222222222222,6.04099244875944,5.76051779935275,5.09169363538296,4.68176914778856,2
"229",5.03005085529357,5.03005085529357,5.03005085529357,4.98381877022654,4.97457235321313,5.22422561257513,4.95607951918632,5.35367545076283,5.52011095700416,7.76699029126214,7.76699029126214,4.15164123901988,0,1.9047619047619,6.31530282015719,5.6957928802589,5.22422561257513,4.60471567267684,2.5
"230",4.96763754045307,4.90291262135922,4.96763754045307,4.96763754045307,4.90291262135922,5.08090614886731,4.96763754045307,5.27508090614887,5.45307443365696,8.15533980582524,8.15533980582524,4.28802588996764,0,1.66666666666667,6.5210355987055,5.5663430420712,5.32362459546926,4.49838187702265,3
"231",4.9047105357785,4.80402732829917,4.87594390507012,4.89032722042431,4.83279395900755,4.96943545487235,4.97662711254944,5.18518518518519,5.2930600503416,8.45738942826321,8.45738942826321,4.39410284070478,0,1.48148148148148,6.68104998202086,5.3002517080187,5.40093491549802,4.40129449838188,3.5
"232",4.82847896440129,4.72491909385113,4.78964401294498,4.75080906148867,4.7378640776699,4.88025889967638,4.84142394822006,5.02265372168285,5.16504854368932,8.69902912621359,8.69902912621359,4.4789644012945,0,1.33333333333333,6.80906148867314,5.0873786407767,5.46278317152104,4.31067961165049,4
"233",4.70726684318917,4.66019417475728,4.68373050897323,4.63665784054134,4.63665784054134,4.80141218005296,4.66019417475728,4.87790526625478,5.06031185642836,8.89673433362754,8.89673433362754,4.54839658723154,0,1.21212121212121,6.9137981759341,4.9132097675787,5.51338629008532,4.20123565754634,4.5
"234",4.58468176914779,4.60625674217907,4.54153182308522,4.51995685005394,4.54153182308522,4.64940668824164,4.49838187702265,4.72491909385113,4.9730312837109,9.06148867313916,9.06148867313916,4.60625674217907,0,1.11111111111111,7.00107874865156,4.74649406688242,5.55555555555556,4.11003236245955,5
"235",4.46601941747573,4.47597709733632,4.42120985810306,4.41623101817277,4.44112521782425,4.49589245705751,4.36146377893951,4.56061737615136,4.8941996514812,9.20089619118745,9.20089619118745,4.65521533482698,0,1.02564102564103,7.07493154095096,4.58551157580284,5.59123724172268,4.03286034353996,5.5
"236",4.35506241331484,4.36430883032825,4.31807674526121,4.29033749422099,4.32732316227462,4.33656957928803,4.24410540915395,4.41978733240869,4.8081368469718,9.32038834951456,9.32038834951456,4.69717984281091,0,0.952380952380952,7.13823393435044,4.44752658344891,5.62182154415164,3.9297272306981,6
"237",4.11812297734628,4.07766990291262,4.06148867313916,4.05339805825243,4.06957928802589,4.07766990291262,4.05339805825243,4.19093851132686,4.66828478964401,9.51456310679612,9.51456310679612,4.76537216828479,0,0.833333333333333,7.2411003236246,4.1504854368932,5.67152103559871,3.75404530744337,7
"238",3.8475368572456,3.81157856886012,3.79000359582884,3.86192017259978,3.81157856886012,3.87630348795397,3.88349514563107,4.01294498381877,4.55951096727796,9.6655879180151,9.6655879180151,4.81841064365336,0,0.740740740740741,7.32110751528227,3.88349514563107,5.71017619561309,3.61740381157857,8
